,Subject 1,Subject 2,Subject 3,Subject 4
S1_D1 760,0,0,0,1
S1_D1 850,0,0,0,1
S2_D2 760,0,1,0,1
S2_D2 850,0,1,0,1
S3_D1 760,1,0,0,1
S3_D1 850,1,0,0,1
S4_D2 760,0,0,0,0
S4_D2 850,0,0,0,0
S5_D1 760,0,0,0,1
S5_D1 850,0,0,0,1
S6_D2 760,0,0,0,0
S6_D2 850,0,0,0,0
S7_D1 760,1,0,0,1
S7_D1 850,1,0,0,1
S8_D2 760,0,1,0,1
S8_D2 850,0,1,0,1
S5_D3 760,0,0,0,0
S5_D3 850,0,0,0,0
S6_D4 760,1,0,0,0
S6_D4 850,1,0,0,0
S7_D3 760,1,0,0,0
S7_D3 850,1,0,0,0
S8_D4 760,0,1,0,1
S8_D4 850,0,1,0,1
S3_D5 760,0,0,0,0
S3_D5 850,0,0,0,0
S4_D6 760,0,0,0,0
S4_D6 850,0,0,0,0
S5_D5 760,0,0,0,0
S5_D5 850,0,0,0,0
S6_D6 760,0,0,1,0
S6_D6 850,0,0,1,0
S1_D7 760,0,0,0,0
S1_D7 850,0,0,0,0
S2_D8 760,1,1,0,0
S2_D8 850,1,1,0,0
S3_D7 760,0,0,0,0
S3_D7 850,0,0,0,0
S4_D8 760,0,0,0,0
S4_D8 850,0,0,0,0
S1_D9 760,1,1,0,1
S1_D9 850,1,1,0,1
S2_D10 760,0,1,0,1
S2_D10 850,0,1,0,1
S7_D9 760,1,1,0,1
S7_D9 850,1,1,0,1
S8_D10 760,0,1,0,1
S8_D10 850,0,1,0,1
