name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S1_D1 760	NIRSCWAMPLITUDE	S1	D1	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S2_D2 760	NIRSCWAMPLITUDE	S2	D2	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S3_D1 760	NIRSCWAMPLITUDE	S3	D1	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S4_D2 760	NIRSCWAMPLITUDE	S4	D2	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S5_D1 760	NIRSCWAMPLITUDE	S5	D1	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S6_D2 760	NIRSCWAMPLITUDE	S6	D2	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S7_D1 760	NIRSCWAMPLITUDE	S7	D1	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S8_D2 760	NIRSCWAMPLITUDE	S8	D2	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S5_D3 760	NIRSCWAMPLITUDE	S5	D3	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S6_D4 760	NIRSCWAMPLITUDE	S6	D4	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S7_D3 760	NIRSCWAMPLITUDE	S7	D3	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S8_D4 760	NIRSCWAMPLITUDE	S8	D4	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S3_D5 760	NIRSCWAMPLITUDE	S3	D5	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S4_D6 760	NIRSCWAMPLITUDE	S4	D6	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S5_D5 760	NIRSCWAMPLITUDE	S5	D5	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S6_D6 760	NIRSCWAMPLITUDE	S6	D6	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S9_D1 760	NIRSCWAMPLITUDE	S9	D1	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S10_D2 760	NIRSCWAMPLITUDE	S10	D2	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S1_D7 760	NIRSCWAMPLITUDE	S1	D7	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S2_D8 760	NIRSCWAMPLITUDE	S2	D8	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S3_D7 760	NIRSCWAMPLITUDE	S3	D7	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S4_D8 760	NIRSCWAMPLITUDE	S4	D8	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S1_D9 760	NIRSCWAMPLITUDE	S1	D9	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S2_D10 760	NIRSCWAMPLITUDE	S2	D10	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S7_D9 760	NIRSCWAMPLITUDE	S7	D9	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S8_D10 760	NIRSCWAMPLITUDE	S8	D10	760.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S1_D1 850	NIRSCWAMPLITUDE	S1	D1	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S2_D2 850	NIRSCWAMPLITUDE	S2	D2	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S3_D1 850	NIRSCWAMPLITUDE	S3	D1	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S4_D2 850	NIRSCWAMPLITUDE	S4	D2	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S5_D1 850	NIRSCWAMPLITUDE	S5	D1	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S6_D2 850	NIRSCWAMPLITUDE	S6	D2	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S7_D1 850	NIRSCWAMPLITUDE	S7	D1	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S8_D2 850	NIRSCWAMPLITUDE	S8	D2	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S5_D3 850	NIRSCWAMPLITUDE	S5	D3	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S6_D4 850	NIRSCWAMPLITUDE	S6	D4	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S7_D3 850	NIRSCWAMPLITUDE	S7	D3	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S8_D4 850	NIRSCWAMPLITUDE	S8	D4	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S3_D5 850	NIRSCWAMPLITUDE	S3	D5	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S4_D6 850	NIRSCWAMPLITUDE	S4	D6	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S5_D5 850	NIRSCWAMPLITUDE	S5	D5	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S6_D6 850	NIRSCWAMPLITUDE	S6	D6	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S9_D1 850	NIRSCWAMPLITUDE	S9	D1	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S10_D2 850	NIRSCWAMPLITUDE	S10	D2	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S1_D7 850	NIRSCWAMPLITUDE	S1	D7	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S2_D8 850	NIRSCWAMPLITUDE	S2	D8	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S3_D7 850	NIRSCWAMPLITUDE	S3	D7	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S4_D8 850	NIRSCWAMPLITUDE	S4	D8	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S1_D9 850	NIRSCWAMPLITUDE	S1	D9	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S2_D10 850	NIRSCWAMPLITUDE	S2	D10	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S7_D9 850	NIRSCWAMPLITUDE	S7	D9	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
S8_D10 850	NIRSCWAMPLITUDE	S8	D10	850.0	V	0.0	2.5906735751295336	Near Infrared Spectroscopy (continuous wave)	5.181347150259067	good	n/a
