onset	duration	trial_type	value	sample
82.411	12.0	practice/LEFT	2	427
120.046	12.0	practice/RIGHT	3	622
157.29500000000002	12.0	practice/RIGHT	3	815
194.73700000000002	12.0	practice/LEFT	2	1009
284.096	12.0	Baseline	1	1472
298.957	12.0	Baseline	1	1549
303.01	12.0	Baseline	1	1570
303.975	12.0	Baseline	1	1575
314.011	12.0	Baseline	1	1627
342.961	12.0	Baseline	1	1777
343.92600000000004	12.0	Baseline	1	1782
352.03200000000004	12.0	Baseline	1	1824
365.928	12.0	Baseline	1	1896
373.069	12.0	Baseline	1	1933
421.512	12.0	test/LEFT	4	2184
458.761	12.0	test/RIGHT	5	2377
496.396	12.0	test/RIGHT	5	2572
534.0310000000001	12.0	test/RIGHT	5	2767
571.859	12.0	test/LEFT	4	2963
609.301	12.0	test/LEFT	4	3157
646.743	12.0	test/RIGHT	5	3351
684.1850000000001	12.0	test/LEFT	4	3545
721.4340000000001	12.0	test/LEFT	4	3738
758.8760000000001	12.0	test/RIGHT	5	3932
796.125	12.0	test/RIGHT	5	4125
833.76	12.0	test/LEFT	4	4320
871.009	12.0	test/LEFT	4	4513
908.644	12.0	test/LEFT	4	4708
945.893	12.0	test/LEFT	4	4901
983.335	12.0	test/LEFT	4	5095
1020.5840000000001	12.0	test/RIGHT	5	5288
1058.219	12.0	test/RIGHT	5	5483
1095.468	12.0	test/RIGHT	5	5676
1133.103	12.0	test/RIGHT	5	5871
