,ID,ROI,Chroma,Condition,Mean_epoch,Mean_task,Mean_HRF
0,1,Left_ROI,hbo,Baseline,0.03579037450775868,0.062299100036994404,0.046013087627037576
1,1,Left_ROI,hbr,Baseline,-0.007448552659144798,-0.015012673126737581,-0.00989057799834148
2,1,Right_ROI,hbo,Baseline,0.06503928371175892,0.10173011160414874,0.07537109566714065
3,1,Right_ROI,hbr,Baseline,-0.009907458449213891,-0.01581358644963342,-0.010914788497689521
4,2,Left_ROI,hbo,Baseline,0.07314640599459597,0.0818785007644986,0.07297913142983196
5,2,Left_ROI,hbr,Baseline,0.011992994227226711,0.014505177759677707,0.012958090075468482
6,2,Right_ROI,hbo,Baseline,0.03104332975571365,0.03110931702565925,0.028983376804432606
7,2,Right_ROI,hbr,Baseline,-0.0022134757465385783,5.3051048943747314e-05,0.0010435146314703347
8,3,Left_ROI,hbo,Baseline,0.013256386898337713,0.00994515781644156,0.016628451170654222
9,3,Left_ROI,hbr,Baseline,-0.00157464998037049,-8.505853383517872e-05,-3.5413442702865944e-05
10,3,Right_ROI,hbo,Baseline,0.0054670973069019056,0.003891297868942827,0.014088117011921693
11,3,Right_ROI,hbr,Baseline,0.006007152770970919,0.008506754676328183,0.008947578518198381
12,4,Left_ROI,hbo,Baseline,-0.004486541636476499,-0.005020288832403062,-0.00427120852633631
13,4,Left_ROI,hbr,Baseline,-0.002832997665397803,-0.0035549906727747925,-0.00414574558252207
14,4,Right_ROI,hbo,Baseline,-0.004432401332609143,-0.015299919506972865,-0.02069466291727936
15,4,Right_ROI,hbr,Baseline,0.005935749236057586,0.009900763000562687,0.010723269020894472
16,1,Left_ROI,hbo,test/LEFT,-0.040576425771221405,-0.05010377896136883,-0.04954741108889245
17,1,Left_ROI,hbr,test/LEFT,0.012006347977222628,0.02057090214806703,0.018677253724198106
18,1,Right_ROI,hbo,test/LEFT,0.016182168394237573,0.055233980530147685,0.09555149304134432
19,1,Right_ROI,hbr,test/LEFT,-0.010248078159110748,-0.02057471592945243,-0.03164241686507833
20,2,Left_ROI,hbo,test/LEFT,-0.01736316714183899,-0.049687273460489643,-0.06638787246161137
21,2,Left_ROI,hbr,test/LEFT,-0.01195134855295792,-0.02232424344457198,-0.026062226829607703
22,2,Right_ROI,hbo,test/LEFT,0.014653234537819389,0.02324475276090237,0.01661099184244518
23,2,Right_ROI,hbr,test/LEFT,-0.01223193004311926,-0.019427290712594913,-0.02121231222865621
24,3,Left_ROI,hbo,test/LEFT,0.007130641109506367,0.02855523246864331,0.04480607943477256
25,3,Left_ROI,hbr,test/LEFT,-0.007307165107827875,-0.010157894215966856,-0.010291069851302428
26,3,Right_ROI,hbo,test/LEFT,0.02326791911787875,0.050980832830521204,0.05998275561509769
27,3,Right_ROI,hbr,test/LEFT,-0.009365596239452061,-0.015499447372604072,-0.01556840613808112
28,4,Left_ROI,hbo,test/LEFT,0.07140916114900048,0.11648364620739587,0.12953640098629882
29,4,Left_ROI,hbr,test/LEFT,-0.01145991074324628,-0.01765110925958554,-0.019044407392370368
30,4,Right_ROI,hbo,test/LEFT,0.10270587744897941,0.16009896334927654,0.17475877110382101
31,4,Right_ROI,hbr,test/LEFT,-0.03235823257061682,-0.05101302173742036,-0.05685095472989755
32,1,Left_ROI,hbo,test/RIGHT,0.0784079857449295,0.13018702651410224,0.11889937361820103
33,1,Left_ROI,hbr,test/RIGHT,-0.02006035011877446,-0.027204365765895848,-0.018791990159593253
34,1,Right_ROI,hbo,test/RIGHT,0.04258644018757048,0.047080284683979734,-0.002462765395769041
35,1,Right_ROI,hbr,test/RIGHT,-0.0025319348272580264,0.0019315909955802551,0.01146526991069828
36,2,Left_ROI,hbo,test/RIGHT,-0.02435355721834921,-0.0405680445174697,-0.042518739479025625
37,2,Left_ROI,hbr,test/RIGHT,-0.0057786177307402285,-0.00906261616951213,-0.009431253376364251
38,2,Right_ROI,hbo,test/RIGHT,-0.01771923554868494,-0.01905665156763698,-0.000693655275307886
39,2,Right_ROI,hbr,test/RIGHT,0.005281276656973043,0.007967021928498842,0.0065980628416775974
40,3,Left_ROI,hbo,test/RIGHT,0.03251078565854315,0.06344996807145535,0.07013028762686997
41,3,Left_ROI,hbr,test/RIGHT,-0.013461684868382425,-0.025453954221872743,-0.02936814222593193
42,3,Right_ROI,hbo,test/RIGHT,0.023913787995382366,0.05372378504288483,0.05637010382675852
43,3,Right_ROI,hbr,test/RIGHT,-0.0177622008985711,-0.023908186127283258,-0.024026437441964282
44,4,Left_ROI,hbo,test/RIGHT,0.05020870413413442,0.08234596139140406,0.07564934061374096
45,4,Left_ROI,hbr,test/RIGHT,-0.006114766705737293,-0.0082326107636497,-0.0031952463443749948
46,4,Right_ROI,hbo,test/RIGHT,0.06677245191727782,0.10021166452521495,0.08158947099165774
47,4,Right_ROI,hbr,test/RIGHT,-0.021477228510258975,-0.028870933873539565,-0.018531428217424716
