,ID,ROI,Chroma,Condition,Mean_epoch,Mean_task,Mean_HRF
0,1,Left_ROI,hbo,Baseline,0.03579037450775868,0.062299100036994404,0.046013087627037576
1,1,Left_ROI,hbr,Baseline,-0.007448552659144798,-0.015012673126737581,-0.00989057799834148
2,1,Right_ROI,hbo,Baseline,0.06503928371175892,0.10173011160414874,0.07537109566714065
3,1,Right_ROI,hbr,Baseline,-0.009907458449213891,-0.01581358644963342,-0.010914788497689521
4,2,Left_ROI,hbo,Baseline,0.07314640599459597,0.0818785007644986,0.07297913142983196
5,2,Left_ROI,hbr,Baseline,0.011992994227226711,0.014505177759677707,0.012958090075468482
6,2,Right_ROI,hbo,Baseline,0.03104332975571365,0.03110931702565925,0.028983376804432606
7,2,Right_ROI,hbr,Baseline,-0.0022134757465385783,5.3051048943747314e-05,0.0010435146314703347
8,3,Left_ROI,hbo,Baseline,0.013256386898337713,0.00994515781644156,0.016628451170654222
9,3,Left_ROI,hbr,Baseline,-0.00157464998037049,-8.505853383517872e-05,-3.5413442702865944e-05
10,3,Right_ROI,hbo,Baseline,0.0054670973069019056,0.003891297868942827,0.014088117011921693
11,3,Right_ROI,hbr,Baseline,0.006007152770970919,0.008506754676328183,0.008947578518198381
12,4,Left_ROI,hbo,Baseline,-0.004486541636476499,-0.005020288832403062,-0.00427120852633631
13,4,Left_ROI,hbr,Baseline,-0.002832997665397803,-0.0035549906727747925,-0.00414574558252207
14,4,Right_ROI,hbo,Baseline,-0.004432401332609143,-0.015299919506972865,-0.02069466291727936
15,4,Right_ROI,hbr,Baseline,0.005935749236057586,0.009900763000562687,0.010723269020894472
16,1,Left_ROI,hbo,Grasping,0.01891577998685405,0.04004162377636669,0.0346759812646543
17,1,Left_ROI,hbr,Grasping,-0.004027001070775916,-0.003316731808914409,-5.736821769757716e-05
18,1,Right_ROI,hbo,Grasping,0.029384304290904023,0.0511571326070637,0.04654436382278765
19,1,Right_ROI,hbr,Grasping,-0.006390006493184386,-0.009321562466936084,-0.010088573477190024
20,2,Left_ROI,hbo,Grasping,-0.020858362180094098,-0.04512765898897966,-0.05445330597031851
21,2,Left_ROI,hbr,Grasping,-0.008864983141849074,-0.01569342980704206,-0.01774674010298598
22,2,Right_ROI,hbo,Grasping,-0.0015330005054327777,0.002094050596632693,0.007958668283568648
23,2,Right_ROI,hbr,Grasping,-0.0034753266930731084,-0.005730134392048034,-0.007307124693489303
24,3,Left_ROI,hbo,Grasping,0.019820713384024757,0.04600260027004932,0.05746818353082127
25,3,Left_ROI,hbr,Grasping,-0.01038442498810515,-0.017805924218919796,-0.019829606038617182
26,3,Right_ROI,hbo,Grasping,0.02359085355663056,0.052352308936703014,0.0581764297209281
27,3,Right_ROI,hbr,Grasping,-0.01356389856901158,-0.019703816749943665,-0.019797421790022696
28,4,Left_ROI,hbo,Grasping,0.060808932641567455,0.09941480379939993,0.10259287080001989
29,4,Left_ROI,hbr,Grasping,-0.008787338724491786,-0.01294186001161762,-0.011119826868372679
30,4,Right_ROI,hbo,Grasping,0.0847391646831286,0.13015531393724572,0.1281741210477394
31,4,Right_ROI,hbr,Grasping,-0.026917730540437893,-0.039941977805479964,-0.03769119147366114
