name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S1_D1 760	NIRSCWAMPLITUDE	S1	D1	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S2_D2 760	NIRSCWAMPLITUDE	S2	D2	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S3_D1 760	NIRSCWAMPLITUDE	S3	D1	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S3_D2 760	NIRSCWAMPLITUDE	S3	D2	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S4_D3 760	NIRSCWAMPLITUDE	S4	D3	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S5_D4 760	NIRSCWAMPLITUDE	S5	D4	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S6_D3 760	NIRSCWAMPLITUDE	S6	D3	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S7_D4 760	NIRSCWAMPLITUDE	S7	D4	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S8_D3 760	NIRSCWAMPLITUDE	S8	D3	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S9_D4 760	NIRSCWAMPLITUDE	S9	D4	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S13_D3 760	NIRSCWAMPLITUDE	S13	D3	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S14_D4 760	NIRSCWAMPLITUDE	S14	D4	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S10_D1 760	NIRSCWAMPLITUDE	S10	D1	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S11_D2 760	NIRSCWAMPLITUDE	S11	D2	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S12_D1 760	NIRSCWAMPLITUDE	S12	D1	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S12_D2 760	NIRSCWAMPLITUDE	S12	D2	760.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S1_D1 850	NIRSCWAMPLITUDE	S1	D1	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S2_D2 850	NIRSCWAMPLITUDE	S2	D2	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S3_D1 850	NIRSCWAMPLITUDE	S3	D1	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S3_D2 850	NIRSCWAMPLITUDE	S3	D2	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S4_D3 850	NIRSCWAMPLITUDE	S4	D3	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S5_D4 850	NIRSCWAMPLITUDE	S5	D4	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S6_D3 850	NIRSCWAMPLITUDE	S6	D3	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S7_D4 850	NIRSCWAMPLITUDE	S7	D4	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S8_D3 850	NIRSCWAMPLITUDE	S8	D3	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S9_D4 850	NIRSCWAMPLITUDE	S9	D4	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S13_D3 850	NIRSCWAMPLITUDE	S13	D3	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S14_D4 850	NIRSCWAMPLITUDE	S14	D4	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S10_D1 850	NIRSCWAMPLITUDE	S10	D1	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S11_D2 850	NIRSCWAMPLITUDE	S11	D2	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S12_D1 850	NIRSCWAMPLITUDE	S12	D1	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
S12_D2 850	NIRSCWAMPLITUDE	S12	D2	850.0	V	0.0	5.0	Near Infrared Spectroscopy (continuous wave)	10.0	good	n/a
